ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year,Popularity
5dLU3JhD7Cyr5HM3qzpslZ,0.523,0.893,6,-6.71,0,0.0411,0.000459,0.504,0.669,0.237,137.985,415000,4,2013,6.0
0zCciubh77W8fS6YnZf9Kb,0.69,0.561,0,-10.564,1,0.149,0.179,0.00146,0.688,0.239,199.204,154623,4,2018,43.0
4FNNOZgERqA4YCrcC7QmGq,0.65,0.987,2,-3.9960000000000004,1,0.31,0.0089,0.000168,0.151,0.532,159.97899999999998,127741,4,2019,45.0
4pbDrwpQYcaCpAjFTBWSDZ,0.57,0.972,2,-6.947,0,0.04,0.00245,0.551,0.687,0.114,130.0,442356,4,2012,20.0
2JSJlmZvmwBJO3tmfORoxV,0.6659999999999999,0.955,1,-4.346,1,0.0712,0.00047300000000000006,0.833,0.11199999999999999,0.157,144.976,423724,4,2016,4.0
53BX9bScZinfUywOiZdm7z,0.47,0.299,1,-10.248,0,0.0878,0.508,2.54e-05,0.0981,0.507,169.248,201546,4,2019,41.0
12PwlxQdM47fr7XEtDBCAr,0.857,0.987,0,-3.6439999999999997,0,0.126,0.0266,0.73,0.0469,0.607,124.005,341019,4,2019,15.0
4oLLl2b0pZ5Ksp4SWISJyx,0.435,0.636,5,-6.851,0,0.0609,0.451,0.0,0.11199999999999999,0.10099999999999999,141.87,216338,4,2018,1.0
6cs1vbxfaS7biVsmUIB4d6,0.92,0.55,11,-8.766,0,0.0506,0.00313,0.00042699999999999997,0.35,0.264,124.014,237140,4,2020,5.0
412BEzTvETYg8XhekvF6Z8,0.847,0.525,5,-10.855,1,0.0677,0.585,0.0011,0.10400000000000001,0.16899999999999998,122.021,190000,4,2020,14.0
5MaXPG1WC3hgYQdUmznq0o,0.564,0.805,0,-3.115,1,0.322,0.107,0.0,0.126,0.375,141.30200000000002,176000,4,2019,2.0
6ddVjL9Um9Qt8PLcnfiUFK,0.602,0.986,0,-0.563,1,0.531,0.0101,0.0021899999999999997,0.315,0.0464,150.05200000000002,214000,4,2018,26.0
3tVkD8ZEY5lwGfDRo4QS4f,0.625,0.953,1,-7.082999999999999,1,0.0411,0.000266,0.843,0.745,0.5,143.011,429650,4,2016,8.0
6bo2f6DjzAWuuc7oE65Mbq,0.382,0.878,5,-3.898,1,0.3,0.0991,1.98e-06,0.366,0.17,140.211,142760,4,2020,1.0
2kSVLNvFjhdSw5dyWzj6Qb,0.6779999999999999,0.965,2,-1.3659999999999999,0,0.109,0.00414,0.34600000000000003,0.11599999999999999,0.303,156.108,146923,4,2018,17.0
6HNVr3TFVytq9G2MAKzDC6,0.795,0.997,7,-3.804,1,0.0662,0.00168,0.5489999999999999,0.325,0.682,124.985,251520,4,2020,6.0
46PXHKVLitdabumZZd5Z9Q,0.598,0.318,8,-13.217,0,0.0679,0.196,0.0,0.319,0.0819,119.988,200647,4,2018,14.0
60J1diu2x8aQgXTqQOpdSy,0.37200000000000005,0.975,6,-6.885,0,0.10099999999999999,0.00365,0.00346,0.77,0.0868,137.877,257826,4,2017,8.0
2x1GoZKREbFkQJ8FUaz3Lc,0.745,0.726,6,-7.816,0,0.044000000000000004,0.0706,0.868,0.0731,0.259,135.0,560242,4,2017,47.0
31DEiW0OV2rDCvGkD3HQJ6,0.44,0.9329999999999999,2,-3.0789999999999997,0,0.0433,0.00020099999999999998,0.0642,0.19899999999999998,0.0387,140.03,264000,4,2017,25.0
3GxisQ1S1yAQI9SCxwik3p,0.7340000000000001,0.907,2,-2.327,1,0.303,0.0967,2.55e-06,0.605,0.48700000000000004,144.99,244966,4,2018,39.0
5e2nFaLLp5q9eH8FDWDLCf,0.7709999999999999,0.878,2,-10.385,1,0.0349,0.0449,0.8959999999999999,0.687,0.14400000000000002,127.999,431250,4,2018,12.0
7ka4OreVvETtNyTirT8zt7,0.868,0.45299999999999996,10,-10.339,1,0.0996,0.11900000000000001,3.9e-06,0.127,0.466,172.054,190070,4,2019,30.0
5VnpYqIzm02X9gOhVElQo3,0.732,0.772,2,-6.142,0,0.267,0.19399999999999998,1.54e-06,0.242,0.493,123.009,230920,4,2016,61.0
1z5knp2RrEhqCITV9H25Pp,0.6759999999999999,0.965,1,-6.835,1,0.0464,0.000593,0.867,0.22899999999999998,0.0347,140.014,433000,3,2015,6.0
2g7uRZ68eLtv74XrxgdT2q,0.715,0.655,0,-6.425,1,0.13699999999999998,0.0525,0.0,0.115,0.531,190.15599999999998,207333,4,2011,67.0
6Yqmv7XJLCrQEauMbPGZSw,0.648,0.631,4,-5.662000000000001,0,0.10300000000000001,0.377,0.0,0.12,0.142,105.98899999999999,349933,4,2015,69.0
6KnQfU3QuAmgEkBrQSUADy,0.257,0.49200000000000005,6,-12.009,0,0.0445,0.019,0.867,0.122,0.0412,152.814,246010,5,2016,25.0
3CSv4rNuCPcqSA3UhB1it1,0.617,0.7659999999999999,5,-5.709,1,0.265,0.195,0.0,0.24100000000000002,0.358,155.172,174920,4,2018,36.0
4mL59LVbKgOpEACxraGYdr,0.649,0.7909999999999999,2,-6.013,1,0.193,0.10400000000000001,1.97e-06,0.10800000000000001,0.8109999999999999,128.023,236160,4,2017,72.0
5qKG3zHrh3kzzYQEifeGXf,0.7490000000000001,0.41700000000000004,7,-3.861,0,0.0414,0.252,0.0321,0.0954,0.19699999999999998,139.995,208286,4,2019,20.0
2DuSOQmuW33PZr1uQlsVqA,0.606,0.961,6,-5.937,1,0.0587,4.18e-05,0.765,0.0935,0.44,142.99200000000002,365874,4,2018,19.0
4eCZt3yPwyZC1SqVGLYqdu,0.736,0.872,1,-8.267999999999999,1,0.0715,0.0103,0.875,0.084,0.385,128.02200000000002,397500,4,2018,9.0
09cUSj7M38vbIDbbcQpAv1,0.552,0.9490000000000001,5,-4.031000000000001,0,0.158,0.0589,0.0,0.289,0.293,149.98,264000,4,2019,16.0
52BUWmoVv1wve1Pd4dBBRG,0.7070000000000001,0.5489999999999999,1,-6.557,1,0.235,0.00325,0.000145,0.275,0.171,177.37900000000002,158814,4,2019,25.0
6prNzDbevXmtrPzpzL7pFv,0.41200000000000003,0.988,5,-2.766,0,0.15,0.0186,0.775,0.46299999999999997,0.391,144.91,269272,4,2019,27.0
2za8TMqjaYQWNvqBtUbXRC,0.523,0.7490000000000001,1,-1.633,1,0.0381,5.45e-05,9.3e-06,0.0991,0.10800000000000001,150.106,95033,4,2019,1.0
2rec6VQWhoWwpy3BTTvNJC,0.64,0.7859999999999999,6,-10.860999999999999,1,0.0497,0.0008539999999999999,0.94,0.11699999999999999,0.147,132.01,341813,4,2016,1.0
1LuvccUiy1j9y8hpPBzQNh,0.927,0.42700000000000005,10,-8.304,0,0.391,0.0555,0.000692,0.24100000000000002,0.652,190.46,215267,4,1996,45.0
6sdvLVBHnuNjne2DS2IrJ9,0.578,0.9359999999999999,5,-1.838,0,0.0568,0.00592,0.0257,0.226,0.183,174.9,268800,4,2019,52.0
5DOR49R0fehoBmyNL8m4sN,0.652,0.836,2,-7.178999999999999,0,0.153,0.377,0.0,0.138,0.162,123.946,272453,4,2014,60.0
0ruaUBIuD7tt5CAsBVlS0n,0.609,0.8190000000000001,1,-8.203,1,0.0786,0.00367,0.54,0.11,0.0365,128.015,344000,4,2011,7.0
5msdRBqx9ssa4aAOqgrLvD,0.654,0.992,7,-1.265,1,0.428,0.00213,0.374,0.34299999999999997,0.127,150.042,284000,4,2017,4.0
7ihTrFX15onWzNwCHCD2w2,0.775,0.679,5,-6.376,0,0.16699999999999998,0.071,0.0,0.109,0.494,153.986,161165,4,2018,10.0
5k2t748WIcSp0h5sV1iXMd,0.595,0.6459999999999999,1,-7.124,1,0.0397,0.0255,0.0204,0.135,0.147,127.99700000000001,212344,4,2018,16.0
3DPXziAqNa29uhrDgqN55y,0.6729999999999999,0.816,1,-3.5189999999999997,1,0.375,0.00011899999999999999,0.00229,0.11599999999999999,0.213,145.32,188694,4,2017,14.0
4gm13MTHFaLxgVzPfkktNW,0.5670000000000001,0.938,4,-6.747000000000001,0,0.0611,0.0051,0.0582,0.145,0.0904,128.024,216797,4,2017,18.0
08odSjX4jSedY3njOWSBOU,0.605,0.865,8,-3.637,1,0.0464,0.162,1.9600000000000002e-05,0.161,0.40299999999999997,151.99,164232,4,2019,9.0
7KBDiuQVXVLGiuVXNTYjfi,0.522,0.8059999999999999,10,-5.744,0,0.04,0.0485,0.00588,0.125,0.302,174.03099999999998,246207,4,2016,4.0
1zfwRnoVXbLMQLgty1aRVy,0.647,0.863,1,-2.503,0,0.063,0.0056,0.5660000000000001,0.0901,0.0741,150.01,224000,4,2019,18.0
3IRHCZ53uFhP9qqroHAvz8,0.794,0.526,8,-9.599,1,0.147,0.201,0.0,0.131,0.384,175.99,159560,4,2018,27.0
4FvVtq7TEhjT6OtRipH3Og,0.64,0.866,5,-5.595,0,0.155,0.17,0.000236,0.664,0.8009999999999999,149.969,115461,4,2019,28.0
7jUBj3nZfs0dRqr68b4yxy,0.6940000000000001,0.602,10,-7.358,0,0.0276,0.47200000000000003,0.0982,0.109,0.32899999999999996,209.99400000000003,164008,4,2020,49.0
3k19ILYZFLGgcO0HQgCvhU,0.632,0.5539999999999999,8,-7.706,1,0.0739,0.0806,0.8590000000000001,0.10400000000000001,0.203,172.003,317985,4,2017,19.0
0sW4HkOzhgGcQ7fLyTyH37,0.7559999999999999,0.521,7,-9.182,1,0.243,0.635,0.00029,0.10300000000000001,0.496,154.866,154560,4,2020,40.0
5PCJldueshnwqQVjS16543,0.7929999999999999,0.568,1,-4.958,1,0.0459,0.0478,3.570000000000001e-05,0.0304,0.8059999999999999,200.01,269400,4,2001,60.0
